State,Abbreviation,Total
Alabama,AL,9
Alaska,AK,3
Arizona,AZ,11
Arkansas,AR,6
California,CA,54
Colorado,CO,10
Connecticut,CT,7
District of Columbia,DC,3
Delaware,DE,3
Florida,FL,30
Georgia,GA,16
Hawaii,HI,4
Idaho,ID,4
Illinois,IL,19
Indiana,IN,11
Iowa,IA,6
Kansas,KS,6
Kentucky,KY,8
Louisiana,LA,8
Maine,ME,4
Maryland,MD,10
Massachusetts,MA,11
Michigan,MI,15
Minnesota,MN,10
Mississippi,MS,6
Missouri,MO,10
Montana,MT,4
Nebraska,NE,5
Nevada,NV,6
New Hampshire,NH,4
New Jersey,NJ,14
New Mexico,NM,5
New York,NY,28
North Carolina,NC,16
North Dakota,ND,3
Ohio,OH,17
Oklahoma,OK,7
Oregon,OR,8
Pennsylvania,PA,19
Rhode Island,RI,4
South Carolina,SC,9
South Dakota,SD,3
Tennessee,TN,11
Texas,TX,40
Utah,UT,6
Vermont,VT,3
Virginia,VA,13
Washington,WA,12
West Virginia,WV,4
Wisconsin,WI,10
Wyoming,WY,3
